Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
00:00:00 05-Dec-2016,37984.34,37187.72,37264.72,,1181.45,1156.67,1159.06
00:00:00 25-Nov-2016,38506.79,37322.84,37946.72,,1197.70,1160.87,1180.27
00:00:00 15-Nov-2016,39635.44,37984.58,38139.95,,1232.80,1181.45,1186.29
00:00:00 05-Nov-2016,42984.58,38955.93,39346.89,,1336.97,1211.66,1223.83
00:00:00 26-Oct-2016,42047.23,40594.66,41953.03,,1307.82,1262.64,1304.89
00:00:00 16-Oct-2016,41041.47,40200.17,40976.45,,1276.53,1250.37,1274.51
00:00:00 06-Oct-2016,40810.95,39919.73,40223.80,,1269.36,1241.64,1251.10
00:00:00 26-Sep-2016,43151.93,40583.16,40810.47,,1342.18,1262.28,1269.35
00:00:00 16-Sep-2016,43200.07,42000.13,43033.05,,1343.67,1306.35,1338.48
00:00:00 06-Sep-2016,43489.19,42101.88,42343.74,,1352.67,1309.51,1317.04
00:00:00 27-Aug-2016,42751.89,41883.98,42678.83,,1329.73,1302.74,1327.46
00:00:00 17-Aug-2016,43602.12,42380.39,42477.57,,1356.18,1318.18,1321.20
00:00:00 07-Aug-2016,43664.01,42764.43,43335.35,,1358.10,1330.12,1347.88
00:00:00 28-Jul-2016,43960.68,42773.43,42959.75,,1367.33,1330.40,1336.20
00:00:00 18-Jul-2016,43159.48,42147.94,43075.41,,1342.41,1310.95,1339.80
00:00:00 08-Jul-2016,44207.20,42455.38,42853.97,,1375.00,1320.51,1332.91
00:00:00 28-Jun-2016,44214.11,41979.07,43760.22,,1375.21,1305.70,1361.09
00:00:00 18-Jun-2016,43668.35,40231.11,42589.93,,1358.24,1251.33,1324.69
00:00:00 08-Jun-2016,42298.00,39971.42,41757.15,,1315.61,1243.25,1298.79
00:00:00 29-May-2016,40147.92,38580.01,40000.19,,1248.74,1199.97,1244.14
00:00:00 19-May-2016,40553.26,38808.20,38999.98,,1261.35,1207.07,1213.03
00:00:00 09-May-2016,41428.33,40356.98,40527.78,,1288.57,1255.24,1260.55
00:00:00 29-Apr-2016,41915.89,40674.71,41339.75,,1303.73,1265.12,1285.81
00:00:00 19-Apr-2016,40836.75,39469.34,40693.28,,1270.16,1227.63,1265.70
00:00:00 09-Apr-2016,40589.88,39355.69,39517.97,,1262.49,1224.10,1229.15
00:00:00 30-Mar-2016,39978.98,38877.65,39852.38,,1243.49,1209.23,1239.55
00:00:00 20-Mar-2016,40502.63,38858.92,39840.80,,1259.77,1208.65,1239.19
