"Historical price chart data"
"Date: 01/02/2016 - 09/12/2016"
"RENAULT"
"ISIN","MIC","Date","Open","High","Low","Close","Number of Shares","Number of Trades","Turnover","Currency"
"FR0000131906","Euronext Paris","01/02/2016","78.64","79.41","77.29","78.64","948724","10425","74380681.16","EUR"
"FR0000131906","Euronext Paris","02/02/2016","78.35","78.66","76.23","77.16","1029728","9990","79785210.01","EUR"
"FR0000131906","Euronext Paris","03/02/2016","76.69","77.07","73.37","75.37","1489478","14530","111784900.80","EUR"
"FR0000131906","Euronext Paris","04/02/2016","75.95","76.77","71.70","72.88","1782728","16047","130573033.59","EUR"
"FR0000131906","Euronext Paris","05/02/2016","73.28","74.82","72.20","73.42","1319867","13317","97057113.80","EUR"
"FR0000131906","Euronext Paris","08/02/2016","73.80","74.31","68.38","69.22","1297214","12208","91406218.43","EUR"
"FR0000131906","Euronext Paris","09/02/2016","69.11","69.99","66.70","68.99","1402673","14570","96097641.78","EUR"
"FR0000131906","Euronext Paris","10/02/2016","70.35","73.20","70.20","71.67","1375547","13108","98929802.98","EUR"
"FR0000131906","Euronext Paris","11/02/2016","71.00","71.00","67.90","68.85","1471199","13241","101150777.52","EUR"
"FR0000131906","Euronext Paris","12/02/2016","71.89","72.30","66.15","68.33","2062204","19852","141431075.10","EUR"
"FR0000131906","Euronext Paris","15/02/2016","72.00","73.83","70.80","73.57","1433507","12760","104479982.97","EUR"
"FR0000131906","Euronext Paris","16/02/2016","74.16","75.44","71.66","74.06","1329425","14310","97433728.80","EUR"
"FR0000131906","Euronext Paris","17/02/2016","74.38","80.56","74.24","79.93","1730793","17590","135968436.26","EUR"
"FR0000131906","Euronext Paris","18/02/2016","80.55","81.90","78.78","80.61","1308605","13389","105400002.20","EUR"
"FR0000131906","Euronext Paris","19/02/2016","79.70","80.24","78.41","79.53","1099828","11975","87230613.09","EUR"
"FR0000131906","Euronext Paris","22/02/2016","80.52","81.72","80.46","81.38","748828","7947","60919784.56","EUR"
"FR0000131906","Euronext Paris","23/02/2016","80.57","81.29","79.83","80.26","783612","7906","63023924.15","EUR"
"FR0000131906","Euronext Paris","24/02/2016","80.12","80.54","76.53","77.94","1129135","11789","88122265.11","EUR"
"FR0000131906","Euronext Paris","25/02/2016","79.57","79.85","76.86","78.71","855615","8983","67176670.26","EUR"
"FR0000131906","Euronext Paris","26/02/2016","79.94","82.97","79.23","82.77","1458826","14938","119075605.26","EUR"
"FR0000131906","Euronext Paris","29/02/2016","81.90","84.58","81.13","84.14","1247479","12791","104228719.95","EUR"
"FR0000131906","Euronext Paris","01/03/2016","83.55","85.80","83.00","85.62","986590","10900","83803985.04","EUR"
"FR0000131906","Euronext Paris","02/03/2016","86.75","87.20","85.75","86.62","1049626","13341","90824326.99","EUR"
"FR0000131906","Euronext Paris","03/03/2016","86.79","86.92","85.04","86.32","798206","9869","68797139.57","EUR"
"FR0000131906","Euronext Paris","04/03/2016","86.72","87.28","85.06","86.96","1154175","11826","99752104.52","EUR"
"FR0000131906","Euronext Paris","07/03/2016","86.65","88.40","86.30","87.50","672129","7830","58522933.21","EUR"
"FR0000131906","Euronext Paris","08/03/2016","86.32","86.32","83.39","83.70","1073537","10788","90684031.70","EUR"
"FR0000131906","Euronext Paris","09/03/2016","83.64","84.23","82.56","83.40","939553","10164","78463608.66","EUR"
"FR0000131906","Euronext Paris","10/03/2016","83.45","84.39","79.36","79.38","1768480","16343","145135059.98","EUR"
